currency,issue_date,doc_number,booking_class,fare_flag,fee_local,service_type,doc_type_ref,doc_type,service_date,origin,destination,flight_no,trans_code,doc_category,base_fare_usd,fee_usd,equipment_type
CCY-1,2025-12-08,8628981899932,Class 9,N,108.15,No-Show Fee,Doc Type A,A,2025-12-28,VQR,JYN,FN-101,TYPE-A,DOC,11.65,3.09,Equip-2
CCY-2,2025-12-14,9313241910022,Class 6,Y,140.0,No-Show Fee,Doc Type A,A,2025-12-14,GNP,SZV,FN-119,TYPE-B,DOC,12.54,4.0,Equip-3
CCY-2,2025-12-24,4210558911983,Class 2,Y,177.8,No-Show Fee,Doc Type A,A,2025-12-29,UMK,NAB,FN-119,TYPE-A,DOC,15.22,5.08,Equip-3
CCY-2,2025-12-25,7034418440438,Class 1,N,107.8,No-Show Fee,Doc Type A,A,2025-12-29,HGV,PVS,FN-132,TYPE-C,DOC,23.03,3.08,Equip-2
CCY-1,2025-12-11,5586445264650,Class 8,Y,148.4,No-Show Fee,Doc Type A,A,2025-12-25,SUQ,KUV,FN-119,TYPE-A,DOC,7.18,4.24,Equip-3
CCY-1,2025-12-20,1628844835753,Class 2,N,77.0,No-Show Fee,Doc Type A,A,2025-12-18,JYN,UMK,FN-101,TYPE-A,DOC,9.3,2.2,Equip-1
CCY-4,2025-12-05,3332961930020,Class 8,Y,89.25,No-Show Fee,Doc Type A,A,2025-12-13,JKS,MFP,FN-118,TYPE-D,DOC,10.01,2.55,Equip-1
CCY-3,2025-12-23,8008174411707,Class 3,Y,50.4,No-Show Fee,Doc Type A,A,2025-12-29,SZV,RZP,FN-101,TYPE-C,DOC,15.06,1.44,Equip-2
CCY-2,2025-12-20,8199788358434,Class 2,N,116.9,No-Show Fee,Doc Type A,A,2025-12-14,KLC,UBR,FN-132,TYPE-A,DOC,6.61,3.34,Equip-1
CCY-2,2025-12-20,1930512719810,Class 9,N,127.4,No-Show Fee,Doc Type A,A,2025-12-26,UBR,KEE,FN-118,TYPE-D,DOC,15.11,3.64,Equip-2
CCY-3,2025-12-21,8826523430406,Class 4,Y,70.7,No-Show Fee,Doc Type A,A,2025-12-12,MFP,QFX,FN-117,TYPE-C,DOC,8.06,2.02,Equip-2
CCY-1,2025-12-07,5241544799581,Class 9,N,113.4,No-Show Fee,Doc Type A,A,2025-12-23,MBT,KSN,FN-101,TYPE-A,DOC,9.47,3.24,Equip-1
CCY-2,2025-12-17,9211634701654,Class 2,Y,33.25,No-Show Fee,Doc Type A,A,2025-12-22,KEE,GNP,FN-395,TYPE-C,DOC,19.43,0.95,Equip-1
CCY-2,2025-12-21,6317619730141,Class 2,Y,58.45,No-Show Fee,Doc Type A,A,2025-12-30,RZP,HGV,FN-101,TYPE-C,DOC,10.9,1.67,Equip-3
CCY-1,2025-12-22,5679858649079,Class 7,Y,138.95,No-Show Fee,Doc Type A,A,2025-12-18,RZP,GNP,FN-118,TYPE-A,DOC,3.74,3.97,Equip-2
CCY-1,2025-12-27,1633401663313,Class 4,Y,120.75,No-Show Fee,Doc Type A,A,2025-12-25,JKS,TPX,FN-394,TYPE-B,DOC,14.72,3.45,Equip-2
CCY-3,2025-12-09,8998358744853,Class 2,Y,88.2,No-Show Fee,Doc Type A,A,2025-12-09,KSN,LNR,FN-105,TYPE-D,DOC,16.61,2.52,Equip-3
CCY-1,2025-12-26,6489704640014,Class 2,Y,181.65,No-Show Fee,Doc Type A,A,2025-12-08,PVS,RZP,FN-394,TYPE-A,DOC,9.84,5.19,Equip-3
CCY-4,2025-12-30,2621631577615,Class 8,N,130.9,No-Show Fee,Doc Type A,A,2025-12-28,TPX,UMK,FN-119,TYPE-C,DOC,10.77,3.74,Equip-2
CCY-2,2025-12-13,4930169452967,Class 3,N,40.25,No-Show Fee,Doc Type A,A,2025-12-21,TPX,YML,FN-119,TYPE-C,DOC,12.03,1.15,Equip-3
CCY-1,2025-12-03,4927910269742,Class 9,Y,84.7,No-Show Fee,Doc Type A,A,2025-12-13,LNR,SZV,FN-133,TYPE-A,DOC,1.78,2.42,Equip-2
CCY-4,2025-12-10,3044979697715,Class 8,N,132.65,No-Show Fee,Doc Type A,A,2025-12-02,UBR,JYN,FN-133,TYPE-D,DOC,17.28,3.79,Equip-3
CCY-1,2025-12-06,8002431810098,Class 3,N,70.35,No-Show Fee,Doc Type A,A,2025-12-23,KEE,KUV,FN-119,TYPE-B,DOC,16.57,2.01,Equip-2
CCY-3,2025-12-30,9470281623659,Class 6,N,71.4,No-Show Fee,Doc Type A,A,2025-12-15,JYN,KLC,FN-508,TYPE-D,DOC,20.08,2.04,Equip-1
CCY-4,2025-12-17,5749452882508,Class 4,Y,104.65,No-Show Fee,Doc Type A,A,2025-12-31,UMK,KHV,FN-133,TYPE-D,DOC,13.06,2.99,Equip-3
CCY-2,2025-12-06,7355879772989,Class 9,N,151.9,No-Show Fee,Doc Type A,A,2025-12-05,FUG,HGV,FN-132,TYPE-D,DOC,11.13,4.34,Equip-3
CCY-4,2025-12-10,6863984055372,Class 9,N,57.75,No-Show Fee,Doc Type A,A,2025-12-17,SZV,DRW,FN-119,TYPE-B,DOC,8.47,1.65,Equip-3
CCY-3,2025-12-26,0360737715061,Class 4,Y,91.0,No-Show Fee,Doc Type A,A,2025-12-25,KSN,DRW,FN-133,TYPE-C,DOC,12.1,2.6,Equip-3
CCY-2,2025-12-31,8807338304047,Class 5,Y,128.8,No-Show Fee,Doc Type A,A,2025-12-14,FUG,KUV,FN-105,TYPE-B,DOC,28.89,3.68,Equip-1
CCY-2,2025-12-18,9393357574458,Class 3,N,67.9,No-Show Fee,Doc Type A,A,2025-12-21,UBR,PVS,FN-394,TYPE-C,DOC,9.95,1.94,Equip-1
CCY-4,2025-12-06,0439345303951,Class 5,N,68.95,No-Show Fee,Doc Type A,A,2025-12-30,JYN,LNR,FN-395,TYPE-D,DOC,2.6,1.97,Equip-3
CCY-1,2025-12-08,9503854336658,Class 2,Y,155.05,No-Show Fee,Doc Type A,A,2025-12-06,ZYR,KHV,FN-101,TYPE-D,DOC,12.57,4.43,Equip-2
CCY-2,2025-12-31,1625685788434,Class 8,N,113.05,No-Show Fee,Doc Type A,A,2025-12-18,ZYR,TPX,FN-132,TYPE-A,DOC,17.61,3.23,Equip-3
CCY-4,2025-12-03,0572652846159,Class 7,N,114.45,No-Show Fee,Doc Type A,A,2025-12-10,FUG,GNP,FN-119,TYPE-A,DOC,10.38,3.27,Equip-3
