currency,issue_date,doc_number,booking_class,fare_flag,fee_local,service_type,doc_type_ref,doc_type,service_date,origin,destination,flight_no,trans_code,doc_category,base_fare_usd,fee_usd,equipment_type
CCY-4,2025-12-23,5401973111202,Class 8,Y,95.9,Service Type 2,Doc Type A,A,2025-12-04,KHV,JYN,FN-133,TYPE-B,DOC,13.69,2.74,Equip-1
CCY-1,2025-12-20,9389273340958,Class 7,Y,62.65,Service Type 3,Doc Type A,A,2025-12-10,LNR,TDX,FN-133,TYPE-B,DOC,11.21,1.79,Equip-1
CCY-4,2025-12-25,6242996639074,Class 3,N,135.8,Service Type 4,Doc Type A,A,2025-12-07,MFP,QFX,FN-119,TYPE-A,DOC,19.96,3.88,Equip-1
CCY-1,2025-12-01,2370609314173,Class 4,N,94.15,Service Type 1,Doc Type A,A,2025-12-06,QFX,GNP,FN-119,TYPE-B,DOC,16.82,2.69,Equip-1
CCY-3,2025-12-11,4975152385897,Class 3,N,173.25,Service Type 1,Doc Type A,A,2025-12-31,VQR,KSN,FN-133,TYPE-D,DOC,3.35,4.95,Equip-3
CCY-2,2025-12-05,3709031346443,Class 1,Y,78.75,Service Type 3,Doc Type A,A,2025-12-22,KSN,JYN,FN-119,TYPE-B,DOC,11.69,2.25,Equip-3
CCY-2,2025-12-27,3265090128184,Class 9,Y,145.95,Service Type 4,Doc Type A,A,2025-12-10,NAB,VQR,FN-132,TYPE-A,DOC,14.08,4.17,Equip-1
CCY-1,2025-12-25,0679913468060,Class 7,N,149.8,Service Type 4,Doc Type A,A,2025-12-03,SZV,HGV,FN-117,TYPE-A,DOC,11.88,4.28,Equip-3
CCY-3,2025-12-16,2672340688772,Class 8,N,67.2,Service Type 2,Doc Type A,A,2025-12-18,LNR,DPQ,FN-133,TYPE-D,DOC,17.41,1.92,Equip-3
CCY-4,2025-12-23,0734218089316,Class 9,Y,138.6,Service Type 2,Doc Type A,A,2025-12-24,RZP,KHV,FN-394,TYPE-C,DOC,8.63,3.96,Equip-1
CCY-2,2025-12-22,0566807352675,Class 7,N,99.75,Service Type 2,Doc Type A,A,2025-12-20,KHV,TDX,FN-395,TYPE-A,DOC,1.56,2.85,Equip-2
CCY-1,2025-12-26,3610046051001,Class 6,Y,88.2,Service Type 1,Doc Type A,A,2025-12-20,JYN,TPX,FN-395,TYPE-D,DOC,4.85,2.52,Equip-1
CCY-4,2025-12-05,7167520593541,Class 6,N,92.4,Service Type 2,Doc Type A,A,2025-12-08,KLC,UMK,FN-508,TYPE-D,DOC,10.51,2.64,Equip-2
CCY-4,2025-12-10,2589199597465,Class 2,N,66.5,Service Type 4,Doc Type A,A,2025-12-22,JKS,UMK,FN-132,TYPE-D,DOC,9.24,1.9,Equip-1
CCY-4,2025-12-01,3288894897894,Class 2,N,170.45,Service Type 2,Doc Type A,A,2025-12-14,SUQ,YML,FN-119,TYPE-C,DOC,23.46,4.87,Equip-1
CCY-2,2025-12-29,8082314302520,Class 1,Y,160.3,Service Type 5,Doc Type A,A,2025-12-25,GNP,VQR,FN-395,TYPE-A,DOC,6.19,4.58,Equip-2
CCY-4,2025-12-19,8087825346709,Class 8,N,109.55,Service Type 1,Doc Type A,A,2025-12-25,JKS,HGV,FN-133,TYPE-A,DOC,10.0,3.13,Equip-2
CCY-1,2025-12-21,2178888162666,Class 9,N,81.9,Service Type 3,Doc Type A,A,2025-12-25,KSN,JYN,FN-117,TYPE-B,DOC,11.68,2.34,Equip-1
CCY-3,2025-12-10,4611795495711,Class 8,Y,109.55,Service Type 3,Doc Type A,A,2025-12-20,SZV,JYN,FN-118,TYPE-C,DOC,16.92,3.13,Equip-3
CCY-3,2025-12-30,3614518313218,Class 2,N,59.5,Service Type 4,Doc Type A,A,2025-12-26,TPX,KSN,FN-101,TYPE-C,DOC,9.62,1.7,Equip-3
CCY-4,2025-12-27,1007260768516,Class 5,Y,47.6,Service Type 4,Doc Type A,A,2025-12-10,YML,PVS,FN-101,TYPE-A,DOC,7.53,1.36,Equip-2
CCY-3,2025-12-31,4512827294289,Class 9,Y,63.0,Service Type 1,Doc Type A,A,2025-12-28,VQR,KUV,FN-133,TYPE-D,DOC,12.06,1.8,Equip-2
CCY-4,2025-12-06,4832595748591,Class 4,Y,152.95,Service Type 4,Doc Type A,A,2025-12-12,MFP,SZV,FN-508,TYPE-B,DOC,10.67,4.37,Equip-1
CCY-2,2025-12-25,3881871694675,Class 7,Y,103.95,Service Type 5,Doc Type A,A,2025-12-21,UMK,PVS,FN-117,TYPE-C,DOC,18.0,2.97,Equip-3
CCY-4,2025-12-17,0725797513154,Class 7,Y,170.8,Service Type 4,Doc Type A,A,2025-12-16,MFP,ZYR,FN-133,TYPE-B,DOC,11.56,4.88,Equip-1
CCY-4,2025-12-27,0629494472724,Class 6,N,93.45,Service Type 4,Doc Type A,A,2025-12-13,DRW,HGV,FN-508,TYPE-D,DOC,14.6,2.67,Equip-2
CCY-3,2025-12-17,9333639960144,Class 8,Y,118.65,Service Type 3,Doc Type A,A,2025-12-31,KSN,YML,FN-508,TYPE-D,DOC,4.87,3.39,Equip-2
CCY-1,2025-12-19,4459596140977,Class 5,Y,82.95,Service Type 5,Doc Type A,A,2025-12-10,HGV,DPQ,FN-105,TYPE-B,DOC,16.15,2.37,Equip-2
CCY-1,2025-12-11,3529322769730,Class 6,N,92.4,Service Type 2,Doc Type A,A,2025-12-04,UMK,DPQ,FN-395,TYPE-D,DOC,13.46,2.64,Equip-2
CCY-2,2025-12-05,6169174993945,Class 3,Y,17.85,Service Type 4,Doc Type A,A,2025-12-23,NAB,DPQ,FN-508,TYPE-A,DOC,11.08,0.51,Equip-3
CCY-3,2025-12-11,4700688730296,Class 3,Y,138.95,Service Type 3,Doc Type A,A,2025-12-24,MFP,KEE,FN-133,TYPE-B,DOC,10.89,3.97,Equip-1
CCY-3,2025-12-02,9762827128826,Class 4,Y,106.75,Service Type 1,Doc Type A,A,2025-12-24,KLC,SZV,FN-508,TYPE-D,DOC,8.84,3.05,Equip-3
CCY-3,2025-12-31,4077488168204,Class 4,Y,117.6,Service Type 5,Doc Type A,A,2025-12-03,ZYR,JKS,FN-117,TYPE-D,DOC,8.22,3.36,Equip-2
CCY-4,2025-12-25,7427894378872,Class 5,Y,72.1,Service Type 4,Doc Type A,A,2025-12-12,DRW,YML,FN-395,TYPE-A,DOC,10.92,2.06,Equip-2
CCY-4,2025-12-11,0580953164705,Class 5,N,137.55,Service Type 3,Doc Type A,A,2025-12-07,KEE,KHV,FN-118,TYPE-A,DOC,18.66,3.93,Equip-2
CCY-2,2025-12-18,4568893228171,Class 1,Y,122.5,Service Type 2,Doc Type A,A,2025-12-30,TPX,DRW,FN-395,TYPE-A,DOC,8.98,3.5,Equip-3
CCY-2,2025-12-07,4977593367835,Class 9,N,127.4,Service Type 3,Doc Type A,A,2025-12-09,UMK,FUG,FN-508,TYPE-A,DOC,14.69,3.64,Equip-3
CCY-4,2025-12-21,8138231196764,Class 8,N,140.35,Service Type 5,Doc Type A,A,2025-12-24,VQR,UBR,FN-119,TYPE-B,DOC,3.53,4.01,Equip-2
CCY-2,2025-12-29,8227069777730,Class 9,N,92.4,Service Type 2,Doc Type A,A,2025-12-19,KLC,JYN,FN-395,TYPE-C,DOC,9.15,2.64,Equip-1
CCY-4,2025-12-02,2368104636320,Class 2,N,115.5,Service Type 3,Doc Type A,A,2025-12-13,ZYR,DPQ,FN-105,TYPE-B,DOC,25.19,3.3,Equip-1
CCY-1,2025-12-24,2286731941949,Class 3,N,27.65,Service Type 3,Doc Type A,A,2025-12-22,UMK,SUQ,FN-105,TYPE-A,DOC,10.07,0.79,Equip-3
CCY-1,2025-12-27,2023152180961,Class 3,N,57.75,Service Type 5,Doc Type A,A,2025-12-05,NAB,KHV,FN-101,TYPE-A,DOC,18.95,1.65,Equip-3
CCY-3,2025-12-24,3597309806572,Class 8,Y,93.45,Service Type 5,Doc Type A,A,2025-12-02,SUQ,DPQ,FN-105,TYPE-D,DOC,6.98,2.67,Equip-3
CCY-3,2025-12-28,5632454053606,Class 6,N,131.95,Service Type 5,Doc Type A,A,2025-12-04,NAB,VQR,FN-132,TYPE-C,DOC,19.08,3.77,Equip-3
CCY-3,2025-12-22,2177296229234,Class 7,N,115.85,Service Type 1,Doc Type A,A,2025-12-18,KEE,DPQ,FN-118,TYPE-C,DOC,11.21,3.31,Equip-2
CCY-4,2025-12-07,2743076674001,Class 9,N,109.9,Service Type 4,Doc Type A,A,2025-12-26,KSN,HGV,FN-133,TYPE-D,DOC,9.0,3.14,Equip-3
CCY-3,2025-12-07,5960712408476,Class 6,Y,138.95,Service Type 1,Doc Type A,A,2025-12-25,RZP,DPQ,FN-132,TYPE-D,DOC,12.37,3.97,Equip-1
CCY-3,2025-12-25,7180388143710,Class 5,N,122.15,Service Type 5,Doc Type A,A,2025-12-06,JKS,HGV,FN-133,TYPE-A,DOC,16.84,3.49,Equip-3
CCY-1,2025-12-29,0750797522178,Class 1,N,130.9,Service Type 4,Doc Type A,A,2025-12-16,KLC,SUQ,FN-394,TYPE-C,DOC,10.19,3.74,Equip-3
CCY-2,2025-12-01,1636842633618,Class 2,Y,67.2,Service Type 3,Doc Type A,A,2025-12-11,KSN,GNP,FN-508,TYPE-D,DOC,11.54,1.92,Equip-2
CCY-4,2025-12-05,8781841476238,Class 1,Y,107.8,Service Type 4,Doc Type A,A,2025-12-27,ZYR,JKS,FN-394,TYPE-A,DOC,9.98,3.08,Equip-3
CCY-1,2025-12-18,6771641814604,Class 2,Y,98.7,Service Type 5,Doc Type A,A,2025-12-22,TDX,UBR,FN-119,TYPE-D,DOC,16.55,2.82,Equip-1
CCY-2,2025-12-17,0297980134720,Class 7,N,107.1,Service Type 2,Doc Type A,A,2025-12-18,KUV,QFX,FN-133,TYPE-D,DOC,5.95,3.06,Equip-2
CCY-4,2025-12-12,3767039274991,Class 5,Y,111.65,Service Type 5,Doc Type A,A,2025-12-08,PVS,KSN,FN-508,TYPE-D,DOC,12.57,3.19,Equip-3
CCY-1,2025-12-11,3083360146715,Class 2,Y,140.7,Service Type 5,Doc Type A,A,2025-12-22,NAB,DPQ,FN-395,TYPE-B,DOC,16.6,4.02,Equip-2
CCY-2,2025-12-24,2489136043745,Class 6,N,83.3,Service Type 4,Doc Type A,A,2025-12-14,FUG,JYN,FN-119,TYPE-C,DOC,9.03,2.38,Equip-1
CCY-2,2025-12-16,5848277594792,Class 3,N,129.5,Service Type 1,Doc Type A,A,2025-12-03,VQR,KSN,FN-508,TYPE-B,DOC,6.8,3.7,Equip-2
CCY-4,2025-12-12,9579633711935,Class 2,N,93.8,Service Type 1,Doc Type A,A,2025-12-18,TPX,KLC,FN-394,TYPE-A,DOC,19.24,2.68,Equip-2
CCY-1,2025-12-15,0376135242816,Class 5,N,156.45,Service Type 2,Doc Type A,A,2025-12-26,NAB,FUG,FN-395,TYPE-C,DOC,10.79,4.47,Equip-2
CCY-2,2025-12-21,7244753987920,Class 2,N,120.4,Service Type 5,Doc Type A,A,2025-12-05,NAB,TDX,FN-508,TYPE-B,DOC,14.53,3.44,Equip-1
CCY-2,2025-12-12,9968650660116,Class 6,N,128.8,Service Type 5,Doc Type A,A,2025-12-30,LNR,RZP,FN-133,TYPE-C,DOC,6.05,3.68,Equip-1
CCY-1,2025-12-08,5558180066056,Class 8,N,65.45,Service Type 2,Doc Type A,A,2025-12-21,KSN,PVS,FN-105,TYPE-B,DOC,7.35,1.87,Equip-2
CCY-3,2025-12-24,3800639937823,Class 7,Y,84.35,Service Type 1,Doc Type A,A,2025-12-20,KEE,FUG,FN-508,TYPE-D,DOC,10.27,2.41,Equip-3
CCY-2,2025-12-27,1916309165168,Class 1,Y,54.6,Service Type 3,Doc Type A,A,2025-12-27,GNP,ZYR,FN-394,TYPE-B,DOC,10.89,1.56,Equip-1
CCY-3,2025-12-16,0093587170200,Class 6,N,144.55,Service Type 3,Doc Type A,A,2025-12-01,NAB,DRW,FN-105,TYPE-D,DOC,16.79,4.13,Equip-3
CCY-1,2025-12-21,5299423255433,Class 5,Y,139.3,Service Type 2,Doc Type A,A,2025-12-06,MBT,KEE,FN-105,TYPE-B,DOC,2.26,3.98,Equip-3
CCY-1,2025-12-05,5833036132276,Class 1,N,135.1,Service Type 4,Doc Type A,A,2025-12-31,TDX,DRW,FN-118,TYPE-C,DOC,7.95,3.86,Equip-2
CCY-2,2025-12-01,9811078087667,Class 9,N,106.05,Service Type 3,Doc Type A,A,2025-12-07,TPX,SZV,FN-119,TYPE-C,DOC,11.66,3.03,Equip-3
CCY-2,2025-12-12,7843701180336,Class 2,Y,147.35,Service Type 4,Doc Type A,A,2025-12-07,TPX,DRW,FN-394,TYPE-C,DOC,11.07,4.21,Equip-1
CCY-3,2025-12-02,3351163784573,Class 7,Y,126.35,Service Type 3,Doc Type A,A,2025-12-29,UBR,KEE,FN-119,TYPE-A,DOC,5.8,3.61,Equip-1
CCY-2,2025-12-26,6027322699272,Class 9,N,130.2,Service Type 1,Doc Type A,A,2025-12-05,UMK,HGV,FN-117,TYPE-C,DOC,17.51,3.72,Equip-3
CCY-4,2025-12-11,1102939409965,Class 7,N,86.45,Service Type 5,Doc Type A,A,2025-12-19,KEE,MBT,FN-132,TYPE-D,DOC,23.62,2.47,Equip-2
CCY-1,2025-12-25,7130329284422,Class 2,Y,101.15,Service Type 5,Doc Type A,A,2025-12-10,SUQ,PVS,FN-119,TYPE-B,DOC,16.79,2.89,Equip-1
CCY-2,2025-12-29,3000429560302,Class 4,Y,104.65,Service Type 5,Doc Type A,A,2025-12-11,KSN,KUV,FN-395,TYPE-D,DOC,18.17,2.99,Equip-3
CCY-2,2025-12-01,7520025569318,Class 7,Y,150.85,Service Type 4,Doc Type A,A,2025-12-23,JKS,KEE,FN-117,TYPE-B,DOC,10.06,4.31,Equip-3
CCY-3,2025-12-08,8744373053596,Class 3,N,55.65,Service Type 4,Doc Type A,A,2025-12-08,MFP,YML,FN-101,TYPE-A,DOC,9.54,1.59,Equip-3
CCY-4,2025-12-25,3252739767488,Class 2,Y,126.7,Service Type 5,Doc Type A,A,2025-12-04,MBT,LNR,FN-118,TYPE-B,DOC,9.42,3.62,Equip-1
CCY-3,2025-12-25,6941431401398,Class 9,N,108.85,Service Type 5,Doc Type A,A,2025-12-10,JYN,LNR,FN-117,TYPE-C,DOC,18.96,3.11,Equip-1
CCY-2,2025-12-24,7189428408885,Class 7,Y,57.4,Service Type 5,Doc Type A,A,2025-12-01,KHV,KUV,FN-117,TYPE-C,DOC,18.59,1.64,Equip-1
CCY-1,2025-12-02,4164851559648,Class 8,Y,94.85,Service Type 2,Doc Type A,A,2025-12-28,KSN,QFX,FN-117,TYPE-A,DOC,9.78,2.71,Equip-3
CCY-2,2025-12-20,5088884235940,Class 3,Y,107.8,Service Type 4,Doc Type A,A,2025-12-19,ZYR,KEE,FN-395,TYPE-A,DOC,11.43,3.08,Equip-2
CCY-2,2025-12-11,6362244626556,Class 2,N,89.6,Service Type 4,Doc Type A,A,2025-12-22,VQR,KSN,FN-394,TYPE-B,DOC,15.45,2.56,Equip-1
CCY-3,2025-12-28,1727484792705,Class 5,N,103.25,Service Type 4,Doc Type A,A,2025-12-04,NAB,HGV,FN-394,TYPE-B,DOC,12.7,2.95,Equip-2
CCY-1,2025-12-14,8447067409126,Class 1,Y,101.15,Service Type 5,Doc Type A,A,2025-12-15,JYN,KLC,FN-101,TYPE-A,DOC,7.37,2.89,Equip-3
CCY-1,2025-12-04,0648023258699,Class 9,Y,99.05,Service Type 1,Doc Type A,A,2025-12-25,ZYR,KUV,FN-395,TYPE-A,DOC,11.28,2.83,Equip-2
CCY-3,2025-12-13,5411242296069,Class 2,Y,107.8,Service Type 5,Doc Type A,A,2025-12-06,GNP,TDX,FN-105,TYPE-D,DOC,12.16,3.08,Equip-3
CCY-3,2025-12-27,2186678239675,Class 7,N,149.45,Service Type 4,Doc Type A,A,2025-12-23,JKS,SUQ,FN-132,TYPE-C,DOC,9.84,4.27,Equip-3
CCY-2,2025-12-15,8785597118972,Class 5,Y,79.8,Service Type 5,Doc Type A,A,2025-12-24,VQR,KLC,FN-394,TYPE-A,DOC,6.15,2.28,Equip-2
CCY-4,2025-12-09,7267326813615,Class 4,N,68.6,Service Type 3,Doc Type A,A,2025-12-02,DRW,LNR,FN-394,TYPE-D,DOC,25.9,1.96,Equip-1
CCY-2,2025-12-31,8207495962413,Class 3,N,130.55,Service Type 3,Doc Type A,A,2025-12-20,FUG,KHV,FN-105,TYPE-B,DOC,5.23,3.73,Equip-1
CCY-1,2025-12-10,1421582545143,Class 5,Y,96.6,Service Type 5,Doc Type A,A,2025-12-30,HGV,DPQ,FN-117,TYPE-C,DOC,1.61,2.76,Equip-1
CCY-4,2025-12-31,9920510341594,Class 3,Y,51.1,Service Type 3,Doc Type A,A,2025-12-19,FUG,GNP,FN-118,TYPE-B,DOC,22.73,1.46,Equip-3
CCY-2,2025-12-15,0607714976423,Class 7,Y,52.5,Service Type 4,Doc Type A,A,2025-12-29,JYN,PVS,FN-101,TYPE-B,DOC,2.09,1.5,Equip-1
CCY-2,2025-12-08,4177921170052,Class 5,N,144.2,Service Type 5,Doc Type A,A,2025-12-13,TDX,JKS,FN-101,TYPE-A,DOC,16.49,4.12,Equip-1
CCY-4,2025-12-28,1720984027094,Class 4,Y,128.8,Service Type 3,Doc Type A,A,2025-12-06,JKS,KUV,FN-105,TYPE-A,DOC,9.44,3.68,Equip-3
CCY-4,2025-12-04,7862561563688,Class 7,N,167.65,Service Type 4,Doc Type A,A,2025-12-21,DPQ,KUV,FN-132,TYPE-A,DOC,18.95,4.79,Equip-2
CCY-4,2025-12-19,6062853674928,Class 2,N,24.5,Service Type 1,Doc Type A,A,2025-12-26,KUV,NAB,FN-105,TYPE-B,DOC,10.77,0.7,Equip-3
CCY-3,2025-12-25,4313311270645,Class 5,N,89.95,Service Type 5,Doc Type A,A,2025-12-26,UBR,JYN,FN-119,TYPE-A,DOC,7.9,2.57,Equip-2
CCY-4,2025-12-20,1030337991618,Class 6,Y,98.35,Service Type 2,Doc Type A,A,2025-12-20,SZV,MBT,FN-394,TYPE-D,DOC,10.71,2.81,Equip-2
CCY-4,2025-12-09,4093057761406,Class 3,N,149.45,Service Type 1,Doc Type A,A,2025-12-02,FUG,KUV,FN-132,TYPE-C,DOC,17.59,4.27,Equip-1
CCY-2,2025-12-12,7408851744441,Class 4,Y,143.5,Service Type 3,Doc Type A,A,2025-12-18,VQR,UBR,FN-117,TYPE-B,DOC,11.14,4.1,Equip-3
CCY-2,2025-12-13,3733806177998,Class 1,N,107.1,Service Type 2,Doc Type A,A,2025-12-18,PVS,NAB,FN-105,TYPE-A,DOC,13.79,3.06,Equip-1
CCY-1,2025-12-01,5950761404868,Class 8,Y,107.45,Service Type 4,Doc Type A,A,2025-12-20,KLC,DRW,FN-101,TYPE-D,DOC,16.53,3.07,Equip-1
CCY-2,2025-12-26,1092009114989,Class 3,Y,54.6,Service Type 4,Doc Type A,A,2025-12-18,SZV,JYN,FN-132,TYPE-A,DOC,22.29,1.56,Equip-3
CCY-3,2025-12-15,9398364690610,Class 7,Y,100.45,Service Type 2,Doc Type A,A,2025-12-29,GNP,DPQ,FN-119,TYPE-B,DOC,9.42,2.87,Equip-1
CCY-2,2025-12-18,2235375572705,Class 3,N,149.45,Service Type 1,Doc Type A,A,2025-12-21,HGV,SZV,FN-105,TYPE-D,DOC,14.2,4.27,Equip-1
CCY-4,2025-12-12,7767788713084,Class 9,Y,55.3,Service Type 5,Doc Type A,A,2025-12-16,FUG,UBR,FN-117,TYPE-A,DOC,11.88,1.58,Equip-1
CCY-4,2025-12-07,2956898657489,Class 4,N,131.25,Service Type 4,Doc Type A,A,2025-12-28,KLC,KHV,FN-101,TYPE-D,DOC,16.21,3.75,Equip-3
CCY-4,2025-12-30,5003814043880,Class 2,N,105.0,Service Type 2,Doc Type A,A,2025-12-03,KSN,MBT,FN-132,TYPE-A,DOC,2.29,3.0,Equip-1
CCY-2,2025-12-12,3485842556141,Class 8,N,81.9,Service Type 2,Doc Type A,A,2025-12-29,KUV,PVS,FN-394,TYPE-D,DOC,4.05,2.34,Equip-1
CCY-2,2025-12-06,5798169535246,Class 4,N,133.35,Service Type 1,Doc Type A,A,2025-12-09,YML,KUV,FN-117,TYPE-C,DOC,7.49,3.81,Equip-3
CCY-3,2025-12-24,0193958981843,Class 3,N,59.85,Service Type 3,Doc Type A,A,2025-12-29,MBT,KEE,FN-132,TYPE-D,DOC,12.58,1.71,Equip-3
CCY-2,2025-12-10,2595122869529,Class 4,Y,54.95,Service Type 1,Doc Type A,A,2025-12-02,TDX,DPQ,FN-133,TYPE-B,DOC,16.4,1.57,Equip-3
