currency,issue_date,doc_number,booking_class,fare_flag,fee_local,service_type,doc_type_ref,doc_type,service_date,origin,destination,flight_no,trans_code,doc_category,base_fare_usd,fee_usd,equipment_type
CCY-1,2025-12-26,8158996099326,Class 4,N,92.4,Service Type 2,Doc Type S,S,2025-12-02,KLC,JYN,FN-508,TYPE-B,DOC,23.01,2.64,Equip-2
CCY-3,2025-12-17,2401521738101,Class 9,N,90.3,Service Type 2,Doc Type S,S,2025-12-24,JKS,KEE,FN-119,TYPE-B,DOC,12.55,2.58,Equip-2
CCY-1,2025-12-11,2589996739031,Class 7,N,158.55,Service Type 2,Doc Type S,S,2025-12-27,MFP,LNR,FN-395,TYPE-A,DOC,12.01,4.53,Equip-3
CCY-3,2025-12-21,8407343190857,Class 4,N,74.9,Service Type 4,Doc Type S,S,2025-12-20,KUV,GNP,FN-395,TYPE-D,DOC,5.27,2.14,Equip-3
CCY-4,2025-12-02,1542270955772,Class 1,Y,140.7,Service Type 3,Doc Type S,S,2025-12-23,ZYR,NAB,FN-119,TYPE-D,DOC,18.89,4.02,Equip-3
CCY-1,2025-12-18,9643538201877,Class 7,N,134.75,Service Type 1,Doc Type S,S,2025-12-06,MFP,GNP,FN-508,TYPE-C,DOC,10.18,3.85,Equip-3
CCY-1,2025-12-29,1530912707366,Class 3,Y,157.5,Service Type 4,Doc Type S,S,2025-12-21,UMK,SUQ,FN-117,TYPE-D,DOC,13.71,4.5,Equip-1
CCY-1,2025-12-27,9967450716239,Class 3,N,141.05,Service Type 2,Doc Type S,S,2025-12-14,UMK,ZYR,FN-132,TYPE-C,DOC,12.37,4.03,Equip-2
CCY-4,2025-12-31,5768112005655,Class 6,Y,126.0,Service Type 1,Doc Type S,S,2025-12-24,KHV,TPX,FN-118,TYPE-A,DOC,25.21,3.6,Equip-2
CCY-3,2025-12-07,9387270759335,Class 3,N,130.2,Service Type 2,Doc Type S,S,2025-12-07,MFP,SUQ,FN-395,TYPE-C,DOC,12.25,3.72,Equip-2
CCY-2,2025-12-23,2890171063781,Class 2,N,188.65,Service Type 5,Doc Type S,S,2025-12-26,VQR,QFX,FN-508,TYPE-B,DOC,10.17,5.39,Equip-3
CCY-3,2025-12-25,4345712840384,Class 1,N,95.55,Service Type 5,Doc Type S,S,2025-12-29,DRW,MBT,FN-395,TYPE-D,DOC,12.9,2.73,Equip-1
CCY-1,2025-12-19,3187323351950,Class 7,Y,143.5,Service Type 2,Doc Type S,S,2025-12-27,UMK,SZV,FN-119,TYPE-C,DOC,7.82,4.1,Equip-2
CCY-3,2025-12-31,9389833337873,Class 4,N,87.5,Service Type 5,Doc Type S,S,2025-12-02,KEE,HGV,FN-132,TYPE-B,DOC,16.34,2.5,Equip-3
CCY-3,2025-12-19,8148805951556,Class 8,N,52.15,Service Type 4,Doc Type S,S,2025-12-10,TPX,DPQ,FN-117,TYPE-B,DOC,14.88,1.49,Equip-2
CCY-1,2025-12-14,3647048704280,Class 5,Y,120.75,Service Type 5,Doc Type S,S,2025-12-05,DRW,FUG,FN-508,TYPE-C,DOC,12.92,3.45,Equip-3
CCY-4,2025-12-07,3779938047013,Class 1,Y,78.05,Service Type 4,Doc Type S,S,2025-12-14,UMK,ZYR,FN-101,TYPE-C,DOC,20.54,2.23,Equip-3
CCY-1,2025-12-24,7997057973108,Class 1,Y,73.5,Service Type 4,Doc Type S,S,2025-12-24,YML,MBT,FN-105,TYPE-B,DOC,5.61,2.1,Equip-2
CCY-2,2025-12-30,5578419032221,Class 2,Y,151.9,Service Type 5,Doc Type S,S,2025-12-17,JKS,DPQ,FN-133,TYPE-A,DOC,5.32,4.34,Equip-3
CCY-1,2025-12-29,7094195724168,Class 6,N,116.2,Service Type 3,Doc Type S,S,2025-12-23,KLC,UBR,FN-119,TYPE-D,DOC,19.74,3.32,Equip-3
CCY-1,2025-12-21,0534053474923,Class 1,Y,109.55,Service Type 1,Doc Type S,S,2025-12-16,GNP,HGV,FN-508,TYPE-B,DOC,18.11,3.13,Equip-2
CCY-3,2025-12-03,3907267453396,Class 3,N,93.45,Service Type 5,Doc Type S,S,2025-12-19,PVS,KLC,FN-508,TYPE-A,DOC,11.52,2.67,Equip-2
CCY-1,2025-12-21,2715227372263,Class 9,N,50.75,Service Type 1,Doc Type S,S,2025-12-30,SZV,VQR,FN-394,TYPE-A,DOC,10.45,1.45,Equip-2
CCY-2,2025-12-25,8358178105245,Class 1,Y,103.6,Service Type 3,Doc Type S,S,2025-12-15,VQR,KSN,FN-395,TYPE-B,DOC,13.32,2.96,Equip-2
CCY-1,2025-12-25,1357961444005,Class 8,N,108.15,Service Type 5,Doc Type S,S,2025-12-18,TDX,JKS,FN-118,TYPE-B,DOC,15.73,3.09,Equip-1
CCY-2,2025-12-16,9110746550653,Class 1,Y,74.55,Service Type 1,Doc Type S,S,2025-12-01,NAB,JKS,FN-133,TYPE-D,DOC,11.19,2.13,Equip-2
CCY-2,2025-12-06,0420422470428,Class 5,N,130.9,Service Type 1,Doc Type S,S,2025-12-03,TPX,JKS,FN-119,TYPE-D,DOC,12.36,3.74,Equip-2
CCY-3,2025-12-01,8932008587521,Class 4,Y,108.15,Service Type 4,Doc Type S,S,2025-12-20,QFX,TDX,FN-118,TYPE-C,DOC,6.28,3.09,Equip-3
CCY-2,2025-12-04,0291209765835,Class 8,Y,79.8,Service Type 4,Doc Type S,S,2025-12-29,KLC,TDX,FN-395,TYPE-D,DOC,13.17,2.28,Equip-1
