carrier_code,service_date,area_type,flight_no,flight_detail,route_detail,route_code,doc_number,special_type,route_ref,booking_class,trans_code,tour_code,agent_code,payment_method,issue_date,revenue_category,currency,fare_flag,base_fare_local,surcharge,surcharge_local,tax,tax_local,commission,commission_local,total_fare,total_fare_local,remark,origin_station,total_local_curr,mileage,booking_ref,fare_basis_code,base_fare_usd,surcharge_usd,tax_usd,commission_usd,total_fare_usd
XA,2025-12-22,DOM,FN-508,XAFN-105,TDXPVS,TDX-PVS,9058651850671,,TDX-PVS,Class 4,TYPE-C,,Agent C2,Payment B,2025-12-16,Category B,CCY-1,N,119.19,21.56,19.85,14.19,13.06,4.51,4.15,160.7,147.95,,TDX,147.95,1642,08J3TR,Basis-002/BG,3.41,0.57,0.37,0.12,4.23
XA,2025-12-25,INT,FN-394,XAFN-508,JKSSZV,JKS-SZV,9650752735454,Category D,JKS-SZV,Class 4,TYPE-A,,Agent C1,Payment A,2025-11-06,Category B,CCY-1,N,232.48,44.85,43.97,5.92,5.8,3.31,3.24,284.61,279.01,,JKS,279.01,4202,TIRZQA,Basis-002,6.64,1.26,0.17,0.09,7.97
XA,2025-12-18,DOM,FN-395,XAFN-132,DRWPVS,DRW-PVS,6855744431351,Category C,DRW-PVS,Class 4,TYPE-B,,Agent A2,Payment C,2025-12-01,Category C,CCY-3,N,125.26,36.9,34.97,15.7,14.88,4.39,4.16,180.4,170.95,,DRW,170.95,1023,3KMKZE,Basis-001,3.58,1.0,0.43,0.12,4.88
XA,2025-12-10,DOM,FN-394,XAFN-394,UMKQFX,UMK-QFX,7520471167190,Category C,UMK-QFX,Class 3,TYPE-B,,Agent C1,Payment B,2025-11-06,Category B,CCY-4,Y,111.67,33.82,27.22,5.55,4.47,0.71,0.57,177.4,142.79,,UMK,142.79,4771,1V2ISQ,Basis-002/BG,3.19,0.78,0.13,0.02,4.08
XA,2025-12-31,INT,FN-105,XAFN-119,UBRSUQ,UBR-SUQ,3412328120679,,UBR-SUQ,Class 7,TYPE-C,,Agent A1,Payment A,2025-11-19,Category C,CCY-3,N,54.3,51.2,42.19,20.36,16.78,1.87,1.54,135.58,111.73,,UBR,111.73,783,Y72WX7,Basis-002/BG,1.55,1.21,0.48,0.04,3.19
XA,2025-12-06,DOM,FN-118,XAFN-508,UMKYML,UMK-YML,9471746488771,,UMK-YML,Class 3,TYPE-D,,Agent C2,Payment B,2025-12-09,Category C,CCY-3,Y,144.24,54.37,45.05,14.25,11.81,7.19,5.96,235.52,195.14,,UMK,195.14,948,IY4VA1,Basis-002,4.12,1.29,0.34,0.17,5.58
XA,2025-12-09,DOM,FN-117,XAFN-508,KLCUBR,KLC-UBR,6717565512567,Category D,KLC-UBR,Class 3,TYPE-D,,Agent C1,Payment A,2025-11-30,Category A,CCY-4,N,98.39,36.26,35.42,18.11,17.69,2.61,2.55,152.47,148.95,,KLC,148.95,2267,L8OS9X,Basis-003,2.81,1.01,0.51,0.07,4.26
XA,2025-12-15,INT,FN-101,XAFN-119,DRWZYR,DRW-ZYR,4824771093248,,DRW-ZYR,Class 4,TYPE-D,,Agent A1,Payment A,2025-12-24,Category A,CCY-3,N,147.13,53.5,53.47,3.1,3.1,4.58,4.58,199.24,199.12,,DRW,199.12,1162,XF7KZO,Basis-002/BG,4.2,1.53,0.09,0.13,5.69
XA,2025-12-17,INT,FN-117,XAFN-105,YMLHGV,YML-HGV,4658404499727,,YML-HGV,Class 9,TYPE-C,,Agent B1,Payment C,2025-12-19,Category D,CCY-2,N,215.75,26.79,31.31,7.27,8.5,3.54,4.14,215.12,251.42,,YML,251.42,2836,59IN4O,Basis-002,6.16,0.89,0.24,0.12,7.18
XA,2025-12-21,INT,FN-117,XAFN-394,PVSDPQ,PVS-DPQ,0289517187026,Category C,PVS-DPQ,Class 7,TYPE-A,,Agent B2,Payment B,2025-11-22,Category D,CCY-4,Y,157.34,0.17,0.19,7.97,8.9,6.97,7.78,142.04,158.65,,PVS,158.65,2891,44NLZ1,Basis-003,4.5,0.01,0.25,0.22,4.53
XA,2025-12-14,DOM,FN-105,XAFN-105,TDXFUG,TDX-FUG,7240050455623,,TDX-FUG,Class 4,TYPE-B,,Agent A2,Payment A,2025-11-06,Category D,CCY-3,Y,178.57,47.48,52.17,6.74,7.41,8.11,8.91,208.65,229.24,,TDX,229.24,4276,6FQJJA,Basis-002/BG,5.1,1.49,0.21,0.25,6.55
XA,2025-12-19,INT,FN-118,XAFN-133,NABKHV,NAB-KHV,4743671369594,Category D,NAB-KHV,Class 3,TYPE-A,,Agent C2,Payment B,2025-11-18,Category A,CCY-1,Y,85.32,23.95,22.47,15.54,14.58,2.0,1.88,128.42,120.49,,NAB,120.49,4269,361I2H,Basis-001/BG,2.44,0.64,0.42,0.05,3.44
XA,2025-12-10,INT,FN-394,XAFN-101,NABDPQ,NAB-DPQ,9521456232858,Category D,NAB-DPQ,Class 3,TYPE-B,,Agent B1,Payment B,2025-12-22,Category C,CCY-1,N,176.3,20.83,22.05,11.87,12.57,7.52,7.96,191.74,202.96,,NAB,202.96,1143,QC1IYY,Basis-002/BG,5.04,0.63,0.36,0.23,5.8
XA,2025-12-12,INT,FN-118,XAFN-508,FUGDPQ,FUG-DPQ,6513709859317,Category D,FUG-DPQ,Class 7,TYPE-D,,Agent A1,Payment A,2025-11-03,Category A,CCY-1,N,157.77,52.42,44.53,7.64,6.49,2.46,2.09,243.34,206.7,,FUG,206.7,4235,EITNN8,Basis-003,4.51,1.27,0.19,0.06,5.91
XA,2025-12-20,INT,FN-133,XAFN-118,TDXMFP,TDX-MFP,0537735158506,Category D,TDX-MFP,Class 3,TYPE-B,,Agent A1,Payment B,2025-11-06,Category B,CCY-4,Y,123.79,21.28,24.12,2.36,2.68,3.57,4.05,129.28,146.54,,TDX,146.54,614,2IEUC1,Basis-001/BG,3.54,0.69,0.08,0.12,4.19
XA,2025-12-09,DOM,FN-117,XAFN-117,UBRYML,UBR-YML,8421020539502,Category D,UBR-YML,Class 6,TYPE-A,,Agent A2,Payment C,2025-11-27,Category A,CCY-2,Y,173.69,32.67,33.92,9.66,10.03,6.6,6.85,203.0,210.79,,UBR,210.79,4101,QNVQHW,Basis-003,4.96,0.97,0.29,0.2,6.02
XA,2025-12-14,INT,FN-105,XAFN-394,JYNKUV,JYN-KUV,7115921249985,,JYN-KUV,Class 1,TYPE-C,,Agent B2,Payment C,2025-12-09,Category D,CCY-1,Y,131.23,7.7,8.77,6.94,7.9,5.75,6.55,124.11,141.35,,JYN,141.35,1137,4X1ZHQ,Basis-001/BG,3.75,0.25,0.23,0.19,4.04
XA,2025-12-14,INT,FN-132,XAFN-118,JKSSZV,JKS-SZV,5271111615280,Category D,JKS-SZV,Class 8,TYPE-A,,Agent B2,Payment B,2025-12-26,Category D,CCY-4,Y,122.58,21.44,17.97,10.97,9.19,3.04,2.55,175.64,147.19,,JKS,147.19,2556,VMUHXI,Basis-001,3.5,0.51,0.26,0.07,4.21
XA,2025-12-26,INT,FN-133,XAFN-395,UBRKHV,UBR-KHV,9980940244550,Category C,UBR-KHV,Class 6,TYPE-B,,Agent C1,Payment C,2025-11-26,Category A,CCY-1,Y,182.32,56.61,58.29,10.56,10.87,6.75,6.95,237.49,244.53,,UBR,244.53,451,DTNQFL,Basis-002,5.21,1.67,0.31,0.2,6.99
XA,2025-12-22,DOM,FN-133,XAFN-394,KEEKSN,KEE-KSN,9764381561497,Category D,KEE-KSN,Class 3,TYPE-A,,Agent A2,Payment B,2025-12-09,Category A,CCY-1,Y,170.6,31.78,28.88,0.45,0.41,6.33,5.75,213.61,194.14,,KEE,194.14,1874,KHEJLA,Basis-002/BG,4.87,0.83,0.01,0.16,5.55
XA,2025-12-26,DOM,FN-132,XAFN-105,KSNDRW,KSN-DRW,6060715969664,,KSN-DRW,Class 9,TYPE-D,,Agent A1,Payment B,2025-11-11,Category D,CCY-2,N,147.88,27.26,30.9,19.69,22.32,3.26,3.7,174.18,197.4,,KSN,197.4,921,PDPOC5,Basis-002,4.23,0.88,0.64,0.11,5.64
XA,2025-12-17,DOM,FN-119,XAFN-132,JKSKLC,JKS-KLC,5231243292127,,JKS-KLC,Class 3,TYPE-D,,Agent C2,Payment C,2025-12-12,Category C,CCY-1,N,134.61,40.82,34.52,11.62,9.83,4.07,3.44,207.57,175.52,,JKS,175.52,1436,PQW2VM,Basis-001,3.85,0.99,0.28,0.1,5.01
XA,2025-12-21,INT,FN-105,XAFN-508,JYNHGV,JYN-HGV,9867980793597,Category C,JYN-HGV,Class 1,TYPE-A,,Agent B2,Payment A,2025-12-22,Category C,CCY-1,Y,56.51,51.53,47.14,15.04,13.76,1.14,1.04,127.2,116.37,,JYN,116.37,4333,XBZ9SV,Basis-002,1.61,1.35,0.39,0.03,3.32
XA,2025-12-21,INT,FN-132,XAFN-105,QFXTPX,QFX-TPX,5186449251925,Category D,QFX-TPX,Class 7,TYPE-D,,Agent A2,Payment C,2025-12-16,Category A,CCY-3,N,213.28,19.93,16.36,20.72,17.01,8.82,7.24,291.63,239.41,,QFX,239.41,4778,N23Y30,Basis-003,6.09,0.47,0.49,0.21,6.84
XA,2025-12-31,DOM,FN-119,XAFN-132,NABUBR,NAB-UBR,7332214188805,Category C,NAB-UBR,Class 7,TYPE-D,,Agent A2,Payment A,2025-11-12,Category B,CCY-3,N,37.85,42.01,38.8,22.68,20.95,0.03,0.03,105.65,97.57,,NAB,97.57,557,OYIPK0,Basis-002/BG,1.08,1.11,0.6,0.0,2.79
XA,2025-12-22,DOM,FN-508,XAFN-394,UMKYML,UMK-YML,7468862392407,Category D,UMK-YML,Class 5,TYPE-A,,Agent C2,Payment C,2025-12-25,Category A,CCY-4,N,70.76,24.51,21.51,11.96,10.5,3.65,3.2,113.46,99.57,,UMK,99.57,887,1J6FP8,Basis-001/BG,2.02,0.61,0.3,0.09,2.84
XA,2025-12-13,INT,FN-105,XAFN-132,JKSZYR,JKS-ZYR,3051522047277,,JKS-ZYR,Class 7,TYPE-A,,Agent A1,Payment B,2025-11-14,Category B,CCY-1,N,109.72,7.1,6.74,10.89,10.34,2.29,2.17,131.25,124.63,,JKS,124.63,1110,1IEIXW,Basis-001,3.13,0.19,0.3,0.06,3.56
XA,2025-12-23,DOM,FN-117,XAFN-118,UBRJYN,UBR-JYN,6095396218518,,UBR-JYN,Class 9,TYPE-D,,Agent B2,Payment A,2025-12-11,Category D,CCY-1,N,65.02,36.02,37.1,5.24,5.4,1.99,2.05,102.4,105.47,,UBR,105.47,2277,0MCIXD,Basis-003,1.86,1.06,0.15,0.06,3.01
XA,2025-12-25,INT,FN-394,XAFN-394,KSNZYR,KSN-ZYR,2217043030548,,KSN-ZYR,Class 6,TYPE-D,,Agent B1,Payment A,2025-12-19,Category B,CCY-3,N,273.99,20.98,18.25,9.64,8.39,12.8,11.14,332.73,289.49,,KSN,289.49,3124,5BXJ2P,Basis-002/BG,7.83,0.52,0.24,0.32,8.27
XA,2025-12-26,INT,FN-395,XAFN-118,DRWRZP,DRW-RZP,1616928451154,Category D,DRW-RZP,Class 3,TYPE-D,,Agent C1,Payment C,2025-11-28,Category B,CCY-4,N,215.08,12.19,11.54,11.76,11.14,7.86,7.44,243.23,230.32,,DRW,230.32,3079,Q06WPX,Basis-001,6.15,0.33,0.32,0.21,6.58
XA,2025-12-06,DOM,FN-101,XAFN-117,NABUBR,NAB-UBR,9702135569092,,NAB-UBR,Class 7,TYPE-C,,Agent B1,Payment B,2025-12-19,Category A,CCY-3,Y,254.57,5.35,5.89,9.93,10.92,5.94,6.53,240.78,264.85,,NAB,264.85,4537,NLK8AG,Basis-003,7.27,0.17,0.31,0.19,7.57
XA,2025-12-20,INT,FN-118,XAFN-394,UMKLNR,UMK-LNR,3121727155188,Category D,UMK-LNR,Class 5,TYPE-C,,Agent A2,Payment C,2025-12-16,Category B,CCY-3,N,170.79,47.11,41.73,4.31,3.82,6.78,6.01,237.44,210.33,,UMK,210.33,4367,I92IRM,Basis-003,4.88,1.19,0.11,0.17,6.01
XA,2025-12-10,INT,FN-133,XAFN-394,JYNDPQ,JYN-DPQ,8669125177852,Category C,JYN-DPQ,Class 9,TYPE-B,,Agent B2,Payment C,2025-12-29,Category A,CCY-2,Y,44.36,45.33,37.83,13.76,11.48,1.63,1.36,110.62,92.31,,JYN,92.31,4444,FFLZM7,Basis-002,1.27,1.08,0.33,0.04,2.64
XA,2025-12-18,DOM,FN-105,XAFN-395,QFXYML,QFX-YML,2992299590010,Category D,QFX-YML,Class 9,TYPE-B,,Agent C1,Payment B,2025-12-10,Category A,CCY-3,N,170.04,38.21,35.2,7.17,6.6,1.15,1.06,228.83,210.78,,QFX,210.78,4669,K8R2YK,Basis-001,4.86,1.01,0.19,0.03,6.02
XA,2025-12-05,DOM,FN-132,XAFN-132,KSNJYN,KSN-JYN,5625881537147,Category C,KSN-JYN,Class 7,TYPE-B,,Agent A1,Payment A,2025-11-19,Category D,CCY-4,N,168.58,36.75,34.4,6.87,6.43,4.18,3.91,219.53,205.5,,KSN,205.5,2233,8637ZG,Basis-001/BG,4.82,0.98,0.18,0.11,5.87
XA,2025-12-13,INT,FN-395,XAFN-394,UMKHGV,UMK-HGV,3395004797480,,UMK-HGV,Class 8,TYPE-D,,Agent A2,Payment B,2025-12-17,Category C,CCY-3,N,299.26,44.39,37.11,4.83,4.04,8.9,7.44,398.28,332.97,,UMK,332.97,3197,BBUNKN,Basis-002/BG,8.55,1.06,0.12,0.21,9.51
XA,2025-12-26,INT,FN-132,XAFN-395,UBRSUQ,UBR-SUQ,5239868000257,,UBR-SUQ,Class 2,TYPE-B,,Agent C1,Payment C,2025-11-09,Category C,CCY-2,N,202.52,16.06,15.38,14.56,13.94,10.31,9.87,231.81,221.97,,UBR,221.97,1531,OW4VSS,Basis-002/BG,5.79,0.44,0.4,0.28,6.34
XA,2025-12-14,INT,FN-508,XAFN-118,JYNSZV,JYN-SZV,0974993097289,,JYN-SZV,Class 1,TYPE-B,,Agent C2,Payment A,2025-11-03,Category A,CCY-3,Y,242.69,20.96,17.69,17.56,14.82,4.76,4.02,321.36,271.18,,JYN,271.18,355,PPOHSW,Basis-002/BG,6.93,0.51,0.42,0.11,7.75
XA,2025-12-16,DOM,FN-395,XAFN-133,PVSKSN,PVS-KSN,5278585497334,Category D,PVS-KSN,Class 9,TYPE-B,,Agent B1,Payment B,2025-12-16,Category B,CCY-2,N,183.02,35.3,42.33,16.24,19.48,4.28,5.13,199.88,239.7,,PVS,239.7,2797,RU7ZKU,Basis-003,5.23,1.21,0.56,0.15,6.85
XA,2025-12-23,INT,FN-105,XAFN-132,DRWSZV,DRW-SZV,7473384842199,Category C,DRW-SZV,Class 6,TYPE-B,,Agent A1,Payment C,2025-12-28,Category B,CCY-2,Y,130.37,20.43,18.69,6.07,5.55,2.07,1.89,166.9,152.72,,DRW,152.72,630,DLRYE8,Basis-001/BG,3.72,0.53,0.16,0.05,4.36
XA,2025-12-10,INT,FN-101,XAFN-105,NABHGV,NAB-HGV,9380262067240,,NAB-HGV,Class 8,TYPE-C,,Agent C1,Payment C,2025-11-07,Category C,CCY-2,N,84.74,31.52,28.84,12.8,11.71,3.5,3.2,133.45,122.09,,NAB,122.09,3922,9TR74Q,Basis-001/BG,2.42,0.82,0.33,0.09,3.49
XA,2025-12-11,DOM,FN-118,XAFN-508,JKSKSN,JKS-KSN,3296685161227,Category D,JKS-KSN,Class 8,TYPE-B,,Agent A1,Payment B,2025-11-25,Category B,CCY-3,N,172.14,52.64,42.41,12.5,10.07,7.67,6.18,271.14,218.44,,JKS,218.44,2387,8K0AXY,Basis-001,4.92,1.21,0.29,0.18,6.24
XA,2025-12-29,DOM,FN-118,XAFN-105,JYNQFX,JYN-QFX,4593327279568,,JYN-QFX,Class 3,TYPE-B,,Agent A2,Payment C,2025-12-19,Category A,CCY-4,N,266.28,22.26,26.03,20.18,23.6,7.81,9.13,262.38,306.78,,JYN,306.78,4526,ZCUCTS,Basis-003,7.61,0.74,0.67,0.26,8.77
XA,2025-12-19,DOM,FN-394,XAFN-105,KSNJKS,KSN-JKS,8707286790874,,KSN-JKS,Class 9,TYPE-D,,Agent B1,Payment A,2025-12-18,Category B,CCY-4,Y,200.05,19.43,17.14,5.27,4.65,1.31,1.16,250.16,220.68,,KSN,220.68,571,PZTC69,Basis-002/BG,5.72,0.49,0.13,0.03,6.31
XA,2025-12-21,DOM,FN-133,XAFN-132,QFXDRW,QFX-DRW,6766182512868,Category C,QFX-DRW,Class 3,TYPE-B,,Agent A1,Payment A,2025-11-20,Category D,CCY-2,N,188.6,22.37,26.65,11.39,13.57,6.06,7.22,186.01,221.6,,QFX,221.6,4557,NIQFG5,Basis-001,5.39,0.76,0.39,0.21,6.33
XA,2025-12-20,DOM,FN-101,XAFN-394,KLCNAB,KLC-NAB,9030673830284,Category C,KLC-NAB,Class 7,TYPE-C,,Agent C1,Payment C,2025-12-20,Category C,CCY-1,Y,187.86,34.96,28.91,6.98,5.77,2.73,2.26,266.39,220.28,,KLC,220.28,2672,59SOJU,Basis-003,5.37,0.83,0.16,0.06,6.29
XA,2025-12-21,DOM,FN-133,XAFN-395,NABUBR,NAB-UBR,5662462873342,,NAB-UBR,Class 7,TYPE-A,,Agent C1,Payment B,2025-11-27,Category B,CCY-4,N,28.81,24.85,23.3,15.23,14.28,0.07,0.07,70.72,66.32,,NAB,66.32,2189,JLCQNT,Basis-001/BG,0.82,0.67,0.41,0.0,1.89
XA,2025-12-24,DOM,FN-395,XAFN-119,QFXDRW,QFX-DRW,7354033173936,Category C,QFX-DRW,Class 1,TYPE-C,,Agent B1,Payment B,2025-11-30,Category C,CCY-1,N,167.13,10.24,11.31,9.84,10.87,1.42,1.57,169.95,187.74,,QFX,187.74,2342,M5Q201,Basis-002,4.78,0.32,0.31,0.04,5.36
XA,2025-12-05,DOM,FN-101,XAFN-118,JKSUBR,JKS-UBR,8996423536937,Category D,JKS-UBR,Class 7,TYPE-C,,Agent B2,Payment C,2025-12-12,Category D,CCY-1,N,180.83,18.84,16.74,12.12,10.77,5.73,5.09,228.75,203.25,,JKS,203.25,1578,0MFTG6,Basis-001,5.17,0.48,0.31,0.15,5.81
XA,2025-12-08,DOM,FN-105,XAFN-117,UBRFUG,UBR-FUG,0387509977008,,UBR-FUG,Class 1,TYPE-A,,Agent A1,Payment C,2025-12-17,Category C,CCY-1,N,154.66,11.31,12.86,10.37,11.79,2.81,3.19,154.9,176.12,,UBR,176.12,340,SZP7G7,Basis-003,4.42,0.37,0.34,0.09,5.03
XA,2025-12-13,DOM,FN-105,XAFN-132,YMLUBR,YML-UBR,6793341016668,,YML-UBR,Class 9,TYPE-A,,Agent C2,Payment A,2025-12-15,Category B,CCY-3,Y,194.86,51.0,46.25,16.84,15.27,8.75,7.94,273.94,248.44,,YML,248.44,4294,4XL996,Basis-001,5.57,1.32,0.44,0.23,7.1
XA,2025-12-30,DOM,FN-118,XAFN-395,YMLPVS,YML-PVS,9025039261429,Category C,YML-PVS,Class 8,TYPE-D,,Agent C2,Payment C,2025-11-22,Category D,CCY-3,Y,39.79,19.2,15.93,15.16,12.58,0.11,0.09,82.21,68.21,,YML,68.21,842,S9BP4M,Basis-003,1.14,0.46,0.36,0.0,1.95
XA,2025-12-08,INT,FN-132,XAFN-395,KLCRZP,KLC-RZP,6629619431142,,KLC-RZP,Class 1,TYPE-B,,Agent C2,Payment B,2025-11-21,Category C,CCY-3,Y,191.1,38.49,37.73,29.85,29.26,7.64,7.49,255.66,250.6,,KLC,250.6,949,ALMJEG,Basis-002/BG,5.46,1.08,0.84,0.21,7.16
XA,2025-12-26,INT,FN-132,XAFN-133,FUGZYR,FUG-ZYR,0466183982622,Category D,FUG-ZYR,Class 2,TYPE-C,,Agent B1,Payment B,2025-11-10,Category A,CCY-3,Y,195.67,45.27,47.03,14.22,14.77,5.22,5.42,242.64,252.05,,FUG,252.05,3760,JK2N7Z,Basis-002/BG,5.59,1.34,0.42,0.15,7.2
XA,2025-12-27,DOM,FN-508,XAFN-133,JYNFUG,JYN-FUG,5756924593752,,JYN-FUG,Class 3,TYPE-C,,Agent B1,Payment C,2025-12-15,Category D,CCY-3,Y,202.11,26.37,25.27,14.39,13.79,0.07,0.07,251.6,241.1,,JYN,241.1,2869,N3OEUV,Basis-003,5.77,0.72,0.39,0.0,6.89
XA,2025-12-23,DOM,FN-119,XAFN-394,NABKLC,NAB-KLC,4167243426617,,NAB-KLC,Class 9,TYPE-D,,Agent C1,Payment C,2025-12-30,Category D,CCY-1,Y,88.17,26.86,26.45,7.69,7.57,4.27,4.2,119.83,117.99,,NAB,117.99,3145,Z3V6DI,Basis-002,2.52,0.76,0.22,0.12,3.37
XA,2025-12-26,DOM,FN-133,XAFN-105,NABTDX,NAB-TDX,0143888993756,,NAB-TDX,Class 1,TYPE-B,,Agent B1,Payment A,2025-12-01,Category A,CCY-4,N,156.55,69.39,64.72,0.71,0.66,8.12,7.57,229.84,214.36,,NAB,214.36,3607,7D30MM,Basis-001/BG,4.47,1.85,0.02,0.22,6.12
